species, gynodioecy, pappus
"Valeriana hebecarpa", 1, 0
"Valeriana leucocarpa", 0, 1
"Valeriana grandifolia", 1, 1
"Valeriana virescens", 0, 1
"Valeriana laxiflora", 0, 1
"Valeriana lepidota", 0, 1
"Valeriana bracteosa", 1, 1
"Valeriana bridgesii", 0, 1
"Valeriana papilla", 0, 1
"Valeriana vaga", 0, 1
"Valeriana verticillata", 1, 1
"Valeriana polemoniifolia", 1, 1
"Valeriana boelckei", 0, 1
"Valeriana carnosa", 0, 1
"Valeriana fonkii", 0, 1
"Valeriana clarionifolia", 0, 1
"Plectritis macrocera", 0, 0
"Plectritis congesta", 0, 0
"Valeriana moyanoi", 1, 1
"Valeriana chilensis", 0, 1
"Valeriana chaerophylloides", 0, 0
"Valeriana philippiana", 0, 1
"Valeriana polystachya", 0, 0
"Valeriana graciliceps", 0, 1
"Valeriana radicalis", 1, 1
"Valeriana adscendens", 1, 1
"Valeriana secunda", 1, 1
"Valeriana plantaginea", 1, 1
"Valeriana pilosa", 1, 1
"Valeriana tatamana", 1, 1
"Valeriana hirtella", 1, 1
"Valeriana microphylla", 1, 1
"Valeriana connata", 0, 1
"Valeriana lapathifolia", 0, 1
"Valeriana nivalis", 1, 1
"Valeriana arborea", 0, 0
"Valeriana tomentosa", 1, 1
"Valeriana hornschuchiana", 1, 1
"Valeriana stricta", 1, 1
"Valeriana crispa", 1, 1
"Valeriana clematitis", 1, 1
"Valeriana naidae", 0, 1
"Valeriana pyramidalis", 0, 1
"Valeriana effusa", 1, 1
"Valeriana interrupta", 1, 1
"Valeriana gallinae", 1, 1
"Valeriana rzedowskiorum", 1, 1
"Valeriana densiflora", 1, 1
"Valeriana sorbifolia", 1, 1
"Valeriana retrorsa", 1, 1
"Valeriana selerorum", 1, 1
"Valeriana mexicana", 1, 1
"Valeriana urticifolia", 1, 1
"Valeriana candolleana", 1, 1
"Valeriana scandens", 1, 1
"Valeriana apiifolia", 0, 1
"Valeriana tanacetifolia", 1, 1
"Valeriana bryophila", 1, 1
"Valeriana robertianifolia", 1, 1
"Valeriana palmeri", 1, 1
"Valeriana albonervata", 0, 1
"Valeriana ceratophylla", 0, 1
"Valeriana texana", 1, 0
"Valeriana edulis", 0, 1
"Valeriana prionophylla", 0, 1
"Valeriana stuckertii", 0, 1
"Valeriana polybotrya", 0, 0
"Valeriana macrorhiza", 0, 0
"Valeriana niphobia", 1, 0
"Valeriana aretioides", 1, 0
"Valeriana bracteata", 1, 0
"Valeriana rumicoides", 0, 1
"Valeriana coarctata", 0, 1
"Valeriana stenoptera", 0, 1
"Valeriana minutiflora", 0, 1
"Valeriana kawakamii", 0, 1
"Valeriana flaccidissima", 0, 1 
"Valeriana trichostoma", 0, 1
"Valeriana sichuanica", 0, 1
"Valeriana fauriei", 0, 1
"Valeriana collina", 0, 1
"Valeriana tuberosa", 0, 1
"Valeriana asarifolia", 0, 1
"Valeriana phu", 0, 1
"Valeriana occidentalis", 0, 1
"Valeriana californica", 0, 1
"Valeriana sitchensis", 1, 1
"Valeriana pauciflora", 0, 1
"Valeriana acutiloba", 0, 1
"Valeriana arizonica", 0, 1
"Centranthus trinervis", 0, 1
"Centranthus sieberi", 0, 1
"Centranthus lecoqii", 0, 1
"Centranthus angustifolius", 0, 1
"Centranthus longiflorus", 0, 1
"Centranthus macrosiphon", 0, 1
"Centranthus calcitrapae", 0, 1
"Valeriana supina", 0, 1
"Valeriana montana", 0, 1
"Valeriana pyrenaica", 0, 1
"Valerianella stenocarpa", 0, 0
"Valerianella texana", 0, 0
"Valerianella radiata", 0, 0
"Valerianella amarella", 0, 0
"Valerianella dentata", 0, 0
"Valerianella eriocarpa", 0, 0
"Valerianella vesicaria", 0, 0
"Valerianella coronata", 0, 0
"Valerianella discoidea", 0, 0
"Valerianella carinata", 0, 0
"Valerianella locusta", 0, 0
"Valerianella pumila", 0, 0
"Patrinia saniculifolia", 0, 0
"Fedia cornucopiae", 0, 0
"Valeriana celtica", 1, 1
"Valeriana saxatilis", 0, 1
"Valeriana elongata", 0, 1
"Nardostachys jatamansi", 0, 0
"Patrinia gibbosa", 0, 0
"Patrinia villosa", 0, 0
"Patrinia triloba", 0, 0
"Patrinia scabiosifolia", 0, 0
"Triplostegia glandulifera", 0, 0
"Valeriana officinalis", 0, 1
"Valeriana dioica", 0, 1
"Centranthus ruber", 0, 1
"Valeriana tripteris", 0, 1
